"r","y","idx"
1.2,1,600
1.2,2,600
1.2,0,600
1.2,0,600
1.2,3,600
1.2,2,600
1.2,2,600
1.2,0,600
1.2,4,600
1.2,3,600
1.2,3,600
1.2,5,600
1.2,0,600
1.2,2,600
1.2,2,600
1.2,1,600
1.2,6,600
1.2,5,600
1.2,3,600
1.2,4,600
1.2,4,600
1.2,2,600
1.2,2,600
1.2,3,600
1.2,1,600
1.2,2,600
1.2,2,600
1.2,3,600
1.2,6,600
1.2,2,600
1.2,6,600
1.2,5,600
1.2,3,600
1.2,6,600
1.2,5,600
1.2,2,600
1.2,5,600
1.2,2,600
1.2,4,600
1.2,5,600
1.2,4,600
1.2,3,600
1.2,4,600
1.2,4,600
1.2,4,600
1.2,5,600
1.2,6,600
1.2,3,600
1.2,6,600
1.2,6,600
1.2,6,600
1.2,9,600
1.2,5,600
1.2,9,600
1.2,6,600
1.2,5,600
1.2,6,600
1.2,8,600
1.2,5,600
1.2,2,600
1.2,4,600
1.2,7,600
1.2,8,600
1.2,6,600
1.2,9,600
1.2,5,600
1.2,7,600
1.2,7,600
1.2,4,600
1.2,7,600
1.2,6,600
1.2,14,600
1.2,12,600
1.2,8,600
1.2,6,600
1.2,5,600
1.2,7,600
1.2,8,600
1.2,8,600
1.2,10,600
1.2,10,600
1.2,12,600
1.2,14,600
1.2,11,600
1.2,8,600
1.2,5,600
1.2,9,600
1.2,9,600
1.2,7,600
1.2,16,600
1.2,15,600
1.2,7,600
1.2,4,600
1.2,6,600
1.2,15,600
1.2,13,600
1.2,10,600
1.2,13,600
1.2,14,600
1.2,14,600
2,20,600
2,18,600
2,15,600
2,18,600
2,19,600
2,47,600
2,39,600
2,31,600
2,34,600
2,16,600
2,25,600
2,25,600
2,29,600
2,40,600
2,36,600
2,56,600
2,38,600
2,46,600
2,48,600
2,46,600
2,38,600
2,48,600
2,71,600
2,85,600
2,76,600
2,69,600
2,67,600
2,74,600
2,53,600
2,60,600
2,83,600
2,103,600
2,118,600
2,119,600
2,115,600
2,87,600
2,90,600
2,88,600
2,123,600
2,151,600
2,152,600
2,171,600
2,178,600
2,171,600
2,173,600
2,145,600
2,146,600
2,168,600
2,226,600
2,207,600
2,264,600
2,294,600
2,249,600
2,223,600
2,255,600
2,249,600
2,286,600
2,314,600
2,410,600
2,407,600
2,410,600
2,379,600
2,341,600
2,385,600
2,397,600
2,433,600
2,538,600
2,609,600
2,662,600
2,663,600
2,583,600
2,572,600
2,497,600
2,545,600
2,741,600
2,833,600
2,980,600
2,1070,600
2,949,600
2,873,600
2,837,600
2,808,600
2,949,600
2,1166,600
2,1369,600
2,1573,600
2,1494,600
2,1417,600
2,1315,600
2,1270,600
2,1299,600
2,1524,600
2,1804,600
2,2137,600
2,2368,600
2,2172,600
2,2341,600
2,1953,600
2,1959,600
2,2033,600
0.8,993,600
0.8,1166,600
0.8,1300,600
0.8,1407,600
0.8,1303,600
0.8,1273,600
0.8,1044,600
0.8,961,600
0.8,1038,600
0.8,1110,600
0.8,1270,600
0.8,1413,600
0.8,1375,600
0.8,1268,600
0.8,1116,600
0.8,995,600
0.8,892,600
0.8,982,600
0.8,1027,600
0.8,1213,600
0.8,1363,600
0.8,1154,600
0.8,1080,600
0.8,953,600
0.8,844,600
0.8,829,600
0.8,828,600
0.8,990,600
0.8,1089,600
0.8,1045,600
0.8,1050,600
0.8,944,600
0.8,826,600
0.8,721,600
0.8,740,600
0.8,786,600
0.8,924,600
0.8,1025,600
0.8,1060,600
0.8,915,600
0.8,883,600
0.8,734,600
0.8,603,600
0.8,667,600
0.8,673,600
0.8,800,600
0.8,888,600
0.8,874,600
0.8,798,600
0.8,691,600
0.8,633,600
0.8,577,600
0.8,622,600
0.8,656,600
0.8,732,600
0.8,796,600
0.8,743,600
0.8,699,600
0.8,604,600
0.8,489,600
0.8,521,600
0.8,529,600
0.8,588,600
0.8,702,600
0.8,671,600
0.8,698,600
0.8,545,600
0.8,497,600
0.8,478,600
0.8,445,600
0.8,491,600
0.8,557,600
0.8,604,600
0.8,588,600
0.8,590,600
0.8,502,600
0.8,449,600
0.8,374,600
0.8,414,600
0.8,418,600
0.8,529,600
0.8,506,600
0.8,548,600
0.8,487,600
0.8,434,600
0.8,373,600
0.8,337,600
0.8,359,600
0.8,386,600
0.8,442,600
0.8,482,600
0.8,472,600
0.8,457,600
0.8,366,600
0.8,298,600
0.8,299,600
0.8,312,600
0.8,373,600
0.8,382,600
0.8,466,600
1,493,600
1,439,600
1,390,600
1,311,600
1,350,600
1,397,600
1,377,600
1,455,600
1,478,600
1,443,600
1,436,600
1,351,600
1,331,600
1,348,600
1,348,600
1,415,600
1,493,600
1,486,600
1,427,600
1,385,600
1,350,600
1,304,600
1,327,600
1,392,600
1,448,600
1,481,600
1,455,600
1,447,600
1,373,600
1,332,600
1,310,600
1,380,600
1,384,600
1,439,600
1,486,600
1,449,600
1,400,600
1,405,600
1,319,600
1,296,600
1,365,600
1,378,600
1,437,600
1,441,600
1,479,600
1,409,600
1,386,600
1,302,600
1,327,600
1,381,600
1,384,600
1,450,600
1,437,600
1,435,600
1,391,600
1,360,600
1,298,600
1,316,600
1,376,600
1,434,600
1,497,600
1,466,600
1,446,600
1,388,600
1,310,600
1,313,600
1,317,600
1,394,600
1,424,600
1,454,600
1,481,600
1,409,600
1,375,600
1,314,600
1,335,600
1,326,600
1,407,600
1,437,600
1,467,600
1,444,600
1,430,600
1,356,600
1,324,600
1,319,600
1,361,600
1,408,600
1,481,600
1,499,600
1,450,600
1,381,600
1,365,600
1,323,600
1,333,600
1,378,600
1,430,600
1,479,600
1,459,600
1,441,600
1,395,600
1,320,600
1.5,477,600
1.5,504,600
1.5,542,600
1.5,694,600
1.5,753,600
1.5,781,600
1.5,694,600
1.5,613,600
1.5,587,600
1.5,524,600
1.5,567,600
1.5,699,600
1.5,865,600
1.5,914,600
1.5,911,600
1.5,834,600
1.5,770,600
1.5,699,600
1.5,729,600
1.5,816,600
1.5,1044,600
1.5,1036,600
1.5,1152,600
1.5,1102,600
1.5,1096,600
1.5,945,600
1.5,899,600
1.5,930,600
1.5,1026,600
1.5,1304,600
1.5,1337,600
1.5,1504,600
1.5,1450,600
1.5,1293,600
1.5,1157,600
1.5,1119,600
1.5,1219,600
1.5,1425,600
1.5,1607,600
1.5,1798,600
1.5,1883,600
1.5,1800,600
1.5,1591,600
1.5,1408,600
1.5,1503,600
1.5,1597,600
1.5,1891,600
1.5,2069,600
1.5,2547,600
1.5,2349,600
1.5,2335,600
1.5,2046,600
1.5,1863,600
1.5,1852,600
1.5,2078,600
1.5,2521,600
1.5,2942,600
1.5,3092,600
1.5,3027,600
1.5,2812,600
1.5,2559,600
1.5,2414,600
1.5,2450,600
1.5,2781,600
1.5,3364,600
1.5,3849,600
1.5,3805,600
1.5,3870,600
1.5,3415,600
1.5,3087,600
1.5,2996,600
1.5,3177,600
1.5,3747,600
1.5,4442,600
1.5,4874,600
1.5,4961,600
1.5,4640,600
1.5,4303,600
1.5,3912,600
1.5,3777,600
1.5,4176,600
1.5,5222,600
1.5,5783,600
1.5,6317,600
1.5,6372,600
1.5,5773,600
1.5,5428,600
1.5,4682,600
1.5,4812,600
1.5,5562,600
1.5,6492,600
1.5,7531,600
1.5,8015,600
1.5,7970,600
1.5,7579,600
1.5,6639,600
1.5,6059,600
1.5,6374,600
1.5,7244,600
1.5,8546,600
0.6,3924,600
0.6,4084,600
0.6,4009,600
0.6,3536,600
0.6,3122,600
0.6,2842,600
0.6,2931,600
0.6,3273,600
0.6,3754,600
0.6,3967,600
0.6,3842,600
0.6,3429,600
0.6,2961,600
0.6,2570,600
0.6,2321,600
0.6,2420,600
0.6,2698,600
0.6,3044,600
0.6,3153,600
0.6,2885,600
0.6,2686,600
0.6,2311,600
0.6,1953,600
0.6,1756,600
0.6,2004,600
0.6,2198,600
0.6,2428,600
0.6,2277,600
0.6,2184,600
0.6,1958,600
0.6,1605,600
0.6,1430,600
0.6,1359,600
0.6,1505,600
0.6,1722,600
0.6,1831,600
0.6,1897,600
0.6,1694,600
0.6,1398,600
0.6,1223,600
0.6,1095,600
0.6,1105,600
0.6,1161,600
0.6,1308,600
0.6,1434,600
0.6,1403,600
0.6,1310,600
0.6,1100,600
0.6,882,600
0.6,856,600
0.6,833,600
0.6,978,600
0.6,1120,600
0.6,1083,600
0.6,1085,600
0.6,1045,600
0.6,819,600
0.6,695,600
0.6,670,600
0.6,684,600
0.6,771,600
0.6,863,600
0.6,893,600
0.6,832,600
0.6,709,600
0.6,631,600
0.6,534,600
0.6,499,600
0.6,549,600
0.6,601,600
0.6,700,600
0.6,688,600
0.6,626,600
0.6,541,600
0.6,453,600
0.6,392,600
0.6,421,600
0.6,459,600
0.6,509,600
0.6,542,600
0.6,519,600
0.6,430,600
0.6,383,600
0.6,339,600
0.6,321,600
0.6,320,600
0.6,324,600
0.6,382,600
0.6,402,600
0.6,344,600
0.6,373,600
0.6,279,600
0.6,268,600
0.6,244,600
0.6,254,600
0.6,297,600
0.6,310,600
0.6,307,600
0.6,308,600
0.6,247,600
